Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-05-14 15:43:13,false,"Toronto Running","9.49","718","00:52:55","136","149","3.4","155","165","5:35","4:13","120","106","1.16","8.6","9.9","291","5:29","359","0.0","352","549","8,152","No","00:02:36.2","10","--","--","--","00:52:43","00:55:40","65","109"
Running,2025-05-12 14:55:53,false,"Toronto Running","9.76","774","00:52:51","147","165","4.1","154","179","5:25","3:51","176","162","1.19","8.4","10.1","287","5:18","372","0.0","362","774","8,160","No","00:04:12.8","10","--","--","--","00:52:26","01:00:23","60","103"
Running,2025-05-09 15:18:55,false,"Toronto Running","7.76","561","00:40:56","134","146","3.3","155","169","5:17","4:10","108","98","1.21","8.4","10.1","284","5:12","383","0.0","372","555","6,360","No","00:04:04.1","8","--","--","--","00:40:49","00:42:46","78","122"
Running,2025-05-04 08:44:31,false,"Toronto Running","21.35","1,685","01:49:01","158","174","5.0","164","176","5:06","3:09","189","267","1.19","8.1","9.6","270","5:07","378","0.0","371","725","17,772","No","00:01:44.1","22","--","--","--","01:48:54","01:49:01","70","170"
Running,2025-05-01 07:56:00,false,"Austin Running","5.08","397","00:29:15","138","154","3.0","155","165","5:46","4:38","22","34","1.11","8.8","9.7","293","5:47","333","0.0","330","460","4,518","No","00:00:24.3","6","--","--","--","00:29:09","00:29:15","119","143"
Running,2025-04-29 14:06:24,false,"Austin Running","5.81","453","00:32:58","137","157","3.1","155","165","5:40","3:50","53","65","1.14","8.7","9.9","294","5:40","347","0.0","342","511","5,072","No","00:04:35.6","6","--","--","--","00:32:56","00:32:58","114","142"
Running,2025-04-25 09:53:53,false,"Toronto Running","13.56","1,036","01:13:54","140","154","3.8","157","178","5:27","4:35","283","328","1.17","8.5","9.9","286","5:20","382","0.0","365","626","11,548","No","00:03:03.8","14","--","--","--","01:13:47","01:17:30","59","121"
Running,2025-04-23 15:34:21,false,"Toronto Running","11.08","840","00:56:14","145","161","4.2","158","182","5:05","3:59","263","198","1.24","8.1","10.0","273","4:59","409","0.0","389","675","8,860","No","00:01:09.2","12","--","--","--","00:55:29","00:59:51","68","114"
Running,2025-04-21 10:10:20,false,"Toronto - Stride Repeats","9.00","652","00:48:02","134","155","3.4","157","200","5:20","2:59","126","89","1.18","8.4","9.8","283","5:14","388","0.0","370","703","7,498","No","00:00:20","25","--","--","--","00:47:50","00:51:48","92","120"
Running,2025-04-19 10:18:19,false,"Toronto Running","19.01","1,491","01:43:45","145","161","4.8","158","192","5:27","3:16","220","214","1.16","8.4","9.7","282","5:23","377","0.0","367","646","16,432","No","00:00:03.0","20","--","--","--","01:43:10","01:50:38","58","122"
Running,2025-04-17 15:38:26,false,"Toronto Running","10.60","820","00:56:41","143","157","4.0","156","182","5:21","3:51","133","144","1.19","8.4","10.0","286","5:19","378","0.0","368","610","8,782","No","00:03:28.4","11","--","--","--","00:56:27","00:57:45","64","117"
Running,2025-04-14 15:34:04,false,"Toronto - Stride Repeats","9.01","699","00:47:44","146","164","3.8","158","197","5:18","3:13","111","112","1.18","8.4","9.8","281","5:14","385","0.0","372","691","7,508","No","00:00:07.5","25","18","18","18","00:47:36","00:48:25","61","107"
Running,2025-04-11 09:03:16,false,"Toronto Running","17.01","1,378","01:37:13","145","164","4.6","157","169","5:43","4:36","180","134","1.11","8.7","9.7","289","5:37","351","0.0","344","550","15,250","No","00:00:02.4","18","--","--","--","01:36:55","01:40:09","59","128"
Running,2025-04-09 16:01:15,false,"Toronto - Progression Run","10.01","707","00:51:58","131","147","3.5","157","174","5:11","3:35","145","91","1.22","8.3","10.0","279","5:09","391","0.0","378","673","8,154","No","00:00:36.4","12","--","--","--","00:51:42","00:57:38","75","127"
Running,2025-04-07 13:19:23,false,"Toronto - Stride Repeats","7.54","556","00:39:52","137","153","3.5","158","197","5:17","2:55","113","79","1.18","8.4","9.7","280","5:12","389","0.0","374","646","6,268","No","00:00:16.6","24","--","--","--","00:39:43","00:40:10","62","106"
Running,2025-04-05 15:24:54,false,"Toronto Running","10.02","658","00:49:39","129","143","3.4","162","172","4:57","3:44","75","78","1.25","8.0","10.0","270","4:56","391","0.0","387","538","7,978","No","00:00:06.1","11","--","--","--","00:49:35","00:50:11","62","109"
Running,2025-04-03 15:13:05,false,"Toronto Running","13.56","1,077","01:15:57","147","158","4.4","156","168","5:36","4:18","139","144","1.14","8.6","9.8","288","5:34","360","0.0","352","575","11,842","No","00:03:04.0","14","--","--","--","01:15:40","01:18:58","57","103"
Running,2025-03-31 16:22:30,false,"Toronto Running","10.48","807","00:55:39","144","164","4.3","159","188","5:19","4:21","162","150","1.18","8.4","9.9","281","5:13","392","0.0","379","657","8,792","No","00:02:28.0","11","--","--","--","00:55:31","00:58:01","72","131"
Running,2025-03-27 14:57:31,false,"Toronto Running","13.50","997","01:15:18","135","153","3.9","157","169","5:35","4:42","162","155","1.14","8.6","9.8","288","5:32","366","0.0","360","560","11,778","No","00:02:41.8","14","--","--","--","01:15:08","01:18:59","73","118"
Running,2025-03-25 14:56:17,false,"Toronto Running","9.02","717","00:49:50","145","160","4.1","156","192","5:32","4:15","142","138","1.16","8.5","9.9","287","5:23","378","0.0","365","571","7,778","No","00:00:05.2","10","--","--","--","00:49:33","00:50:45","61","111"
Running,2025-03-21 15:19:47,false,"Toronto Running","13.02","942","01:13:42","129","151","3.6","154","170","5:40","3:25","116","102","1.14","8.7","9.9","292","5:37","348","0.0","345","656","11,360","No","00:00:04.3","14","--","--","--","01:13:28","01:20:12","80","119"
Running,2025-03-19 15:35:54,false,"Toronto Running","11.08","845","01:02:13","141","155","3.9","153","170","5:37","3:25","135","132","1.15","8.6","9.9","293","5:32","365","0.0","353","690","9,548","No","00:00:25.7","12","--","--","--","01:02:00","01:06:52","69","110"
Running,2025-03-18 15:38:53,false,"Toronto Running","11.61","839","01:04:16","133","150","3.6","155","170","5:32","3:34","118","101","1.16","8.6","10.0","290","5:28","360","0.0","353","627","9,932","No","00:03:19.5","12","--","--","--","01:03:57","01:06:51","69","107"
Running,2025-03-14 09:06:25,false,"Vancouver Running","10.01","759","00:55:08","140","150","3.7","156","165","5:30","3:33","70","45","1.16","8.6","9.9","288","5:27","358","0.0","353","517","8,606","No","00:00:03.0","11","--","--","--","00:54:57","00:55:21","-24","8"
Running,2025-03-06 09:29:03,false,"Toronto Running","11.73","879","01:08:10","132","154","3.6","154","223","5:49","4:12","161","138","1.11","8.8","9.8","296","5:45","358","0.0","347","539","10,432","No","00:04:05.5","12","--","--","--","01:07:59","01:11:10","70","114"
Running,2025-02-26 15:56:25,false,"Toronto Running","9.32","700","00:49:11","142","157","4.0","157","167","5:16","3:30","61","66","1.21","8.3","10.0","282","5:15","368","0.0","364","581","7,708","No","00:01:45.3","10","--","--","--","00:48:58","00:51:23","65","114"
Running,2025-02-24 15:28:00,false,"Toronto Running","10.26","797","00:55:20","144","162","4.2","155","169","5:24","3:57","103","98","1.19","8.4","10.0","287","5:19","379","0.0","373","601","8,580","No","00:01:29.7","11","--","--","--","00:55:13","00:58:51","63","107"
